question,label
Can anyone tell me what is the admission eligibility criteria for B.Tech? for the upcoming batch?,Admissions
Do you know how can I download the fee receipt for my payment??,Fees
Do you know can I pay my tuition fees via credit/debit card? for the next semester?,Fees
Do you know what is the process if I miss an exam due to a medical emergency??,Exams
I have a query about: are parents or visitors allowed to visit the hostel rooms? for this academic year?,Hostel
Can anyone tell me are external practical exams held before or after theory exams??,Exams
Do you know when is the application deadline for the upcoming academic year? for new admissions?,Admissions
Do you know what percentage of computer science students got placed last year? for international students?,Placement
I want to know are lateral entry admissions open for diploma holders? for new admissions?,Admissions
How do I apply for an official transcript of my marksheet?,Exams
Where can I find the exam timetable and date sheet online?,Exams
Can you tell me is the entrance exam mandatory for all applicants? for new admissions?,Admissions
What percentage of engineering students got placed last year?,Placement
Can anyone tell me which entrance exam score is required for computer science admissions? for the next semester?,Admissions
I have a query about: are lateral entry admissions open for diploma holders? for this academic year?,Admissions
I have a query about: is gym access included in the hostel fee??,Hostel
How can I download my exam hall ticket or admit card?,Exams
Quick question: how can I check the status of my admission application??,Admissions
Can anyone tell me does the placement cell assist in securing internships??,Placement
Could you please inform me is the entrance exam mandatory for all applicants? for international students?,Admissions
Quick question: what basic amenities are provided in the non-AC room??,Hostel
Whom do I contact in case of maintenance issues in my hostel room?,Hostel
Could you please inform me are students allowed to keep personal vehicles in the hostel? for new admissions?,Hostel
Is there a maximum number of backlogs allowed to move to the next year?,Exams
Quick question: which top companies visit the campus for BBA placements? for new admissions?,Placement
I want to know do companies offer pre-placement offers (PPOs) during internships??,Placement
Do you know what is the minimum passing percentage for the semester exams? for the next semester?,Exams
Can anyone tell me how many companies visit the campus annually for recruitment? for the upcoming batch?,Placement
What domain-specific training is provided before placement drives?,Placement
Which entrance exam score is required for MCA admissions?,Admissions
"Quick question: is there a cafeteria or food court on campus, and what are its timings? as soon as possible?",Other
Can anyone tell me how do I apply for hostel room allotment??,Hostel
What emergency medical services are available on campus?,Other
I have a query about: whom do I contact in case of maintenance issues in my hostel room??,Hostel
Could you please inform me is the admission registration fee refundable??,Admissions
Are there guest house facilities available for visiting parents?,Other
Do you know what security measures are in place across the campus??,Other
Please let me know how much weightage do internal mid-term assessments carry? for new admissions?,Exams
Can anyone tell me whom should I contact to get updates from the placement coordinators? for international students?,Placement
Can anyone tell me what is the average and highest salary package offered in placements??,Placement
Do you know is there a placement policy regarding accepting multiple offers? for the upcoming batch?,Placement
Do you know where can I find the exam timetable and date sheet online? for new admissions?,Exams
Please let me know what is the grading scale used for GPA calculation??,Exams
Can anyone tell me are international job opportunities offered during placements??,Placement
I have a query about: what percentage of PhD students got placed last year? as soon as possible?,Placement
I have a query about: can I change my branch or specialization after taking admission??,Admissions
What are the hostel charges for a AC room?,Hostel
Can you tell me does the campus have a gymnasium or indoor sports complex? for this academic year?,Other
Quick question: what percentage of B.Com students got placed last year? for international students?,Placement
Could you please inform me what is the fee for appearing in a supplementary exam? for international students?,Exams
I have a query about: does the campus have a gymnasium or indoor sports complex? for this academic year?,Other
Please let me know is there a placement policy regarding accepting multiple offers? for the upcoming batch?,Placement
Could you please inform me are there separate girls and boys hostels on campus? for new admissions?,Hostel
I want to know what student clubs or extracurricular activities can I join??,Other
Quick question: where can I find the exam timetable and date sheet online??,Exams
Quick question: how do I book a slot for the document verification process??,Admissions
How can I check the status of my admission application?,Admissions
Can anyone tell me what is the daily curfew time for the student hostel??,Hostel
Quick question: how do I apply for an official transcript of my marksheet??,Exams
Could you please inform me are students allowed to keep personal vehicles in the hostel??,Hostel
I have a query about: whom should I reach out to for admission helpline queries? as soon as possible?,Admissions
I have a query about: can I change my branch or specialization after taking admission? for the next semester?,Admissions
I want to know what domain-specific training is provided before placement drives? for the upcoming batch?,Placement
Quick question: are students allowed to keep personal vehicles in the hostel? for international students?,Hostel
Do you know what domain-specific training is provided before placement drives? for the next semester?,Placement
I want to know are there guest house facilities available for visiting parents? for the next semester?,Other
When will the first merit list for management be released?,Admissions
Can anyone tell me can I view my evaluated answer sheets? for the upcoming batch?,Exams
I have a query about: what security measures are in place across the campus? for the next semester?,Other
Quick question: how do I book a slot for the document verification process? for new admissions?,Admissions
Does the placement cell support entrepreneurship or startups?,Placement
Can I view my evaluated answer sheets?,Exams
Can anyone tell me what is the intake capacity for the MCA course? for international students?,Admissions
Please let me know what percentage of B.Sc students got placed last year??,Placement
Could you please inform me can I pay my tuition fees via installments? as soon as possible?,Fees
Can you tell me how can I apply for an duplicate student identity card??,Other
I have a query about: what are the extra charges apart from tuition fees??,Fees
Do you know what is the procedure to clear backlogs or reappear in a failed exam? for the next semester?,Exams
What is the intake capacity for the M.Tech course?,Admissions
Quick question: how is the quality of food in the hostel mess? for the upcoming batch?,Hostel
Could you please inform me how is the quality of food in the hostel mess??,Hostel
Can anyone tell me what percentage of B.Com students got placed last year? as soon as possible?,Placement
Can you tell me how can I check the status of my admission application??,Admissions
Can you tell me how much do I need to pay for the final year fees??,Fees
Can you tell me whom should I contact in the accounts department regarding fee discrepancies? for international students?,Fees
Is there a different fee structure for NRI or international students?,Fees
I want to know what happens if I want to leave the hostel mid-semester? for the next semester?,Hostel
I want to know what was the cutoff rank or percentage for M.Tech last year? for international students?,Admissions
I have a query about: does the placement cell assist in securing internships? for international students?,Placement
Please let me know what emergency medical services are available on campus??,Other
Do you know are parents or visitors allowed to visit the hostel rooms??,Hostel
I have a query about: what documents do I need to upload during the application process? for this academic year?,Admissions
Can you tell me how can I download the fee receipt for my payment??,Fees
Could you please inform me whom do I contact in case of maintenance issues in my hostel room??,Hostel
Does the college offer placement preparation classes or mock interviews?,Placement
Please let me know is there a placement policy regarding accepting multiple offers? for new admissions?,Placement
Do you know what are the hostel charges for a AC room? for new admissions?,Hostel
Can anyone tell me what is the last date to submit the academic fees for M.Tech? as soon as possible?,Fees
Do you know who manages the alumni association and how do I join? as soon as possible?,Other
Do you know what domain-specific training is provided before placement drives? for this academic year?,Placement
Can anyone tell me is there high-speed Wi-Fi and laundry service in the hostel??,Hostel
I have a query about: what is the process if I miss an exam due to a medical emergency??,Exams
Are parents or visitors allowed to visit the hostel rooms?,Hostel
I have a query about: does the placement cell assist in securing internships??,Placement
Can you tell me are there any merit-based scholarships available??,Fees
Do you know how do I apply for an official transcript of my marksheet? for international students?,Exams
Could you please inform me is the campus wheelchair accessible? for this academic year?,Other
Do you know what is the admission eligibility criteria for M.Sc??,Admissions
Could you please inform me is hostel accommodation compulsory for all BBA students? for international students?,Hostel
"I want to know is there a cafeteria or food court on campus, and what are its timings??",Other
Can you tell me whom do I contact in case of maintenance issues in my hostel room??,Hostel
Quick question: are there guest house facilities available for visiting parents??,Other
I want to know whom do I contact in case of maintenance issues in my hostel room? as soon as possible?,Hostel
Do you know how can I check the status of my admission application? as soon as possible?,Admissions
Please let me know are external practical exams held before or after theory exams??,Exams
I have a query about: what are the hostel charges for a AC room? for new admissions?,Hostel
Quick question: whom should I contact in the accounts department regarding fee discrepancies? for new admissions?,Fees
Do you know what is the total fee structure for management? for the upcoming batch?,Fees
Can you tell me what are the extra charges apart from tuition fees? for this academic year?,Fees
What is the grading scale used for GPA calculation?,Exams
I want to know how do I submit an application for paper revaluation or rechecking??,Exams
Could you please inform me is there high-speed Wi-Fi and laundry service in the hostel??,Hostel
Please let me know how do I book the seminar hall or auditorium for student events??,Other
I have a query about: how do I request a refund of my admission fees if I withdraw? for this academic year?,Fees
How do I register with the university placement cell?,Placement
Could you please inform me how do I apply for hostel room allotment??,Hostel
Could you please inform me what is the procedure to clear backlogs or reappear in a failed exam? as soon as possible?,Exams
Can anyone tell me are international job opportunities offered during placements? for this academic year?,Placement
Can anyone tell me how much weightage do internal mid-term assessments carry??,Exams
Please let me know how do I book a slot for the document verification process? for the upcoming batch?,Admissions
Could you please inform me what emergency medical services are available on campus??,Other
Quick question: can I change my branch or specialization after taking admission? for the next semester?,Admissions
I want to know what is the total fee structure for BBA??,Fees
Quick question: is the admission registration fee refundable??,Admissions
Please let me know is the admission registration fee refundable??,Admissions
Please let me know what security measures are in place across the campus??,Other
Quick question: can I pay my tuition fees via demand draft? for international students?,Fees
I want to know what is the passing criteria for practical lab sessions? as soon as possible?,Exams
Can anyone tell me what is the address and location map of the campus? for the upcoming batch?,Other
Do you know is there any financial aid or fee waiver for sports quota students? for the upcoming batch?,Fees
What is the minimum passing percentage for the semester exams?,Exams
Quick question: is there a different fee structure for NRI or international students??,Fees
Quick question: when is the application deadline for the upcoming academic year? for the next semester?,Admissions
How can I download the fee receipt for my payment?,Fees
Quick question: are off-campus placement drives supported by the college? for the upcoming batch?,Placement
Can you tell me how do I book the seminar hall or auditorium for student events? for international students?,Other
What is the average and highest salary package offered in placements?,Placement
I want to know what happens if I want to leave the hostel mid-semester??,Hostel
Can you tell me are external practical exams held before or after theory exams? for this academic year?,Exams
I have a query about: who manages the alumni association and how do I join? for the upcoming batch?,Other
Do you know what are the operating hours of the central library? for the next semester?,Other
I have a query about: what is the passing criteria for practical lab sessions? for the upcoming batch?,Exams
Do you know are students allowed to keep personal vehicles in the hostel??,Hostel
Can you tell me what happens if I want to leave the hostel mid-semester? as soon as possible?,Hostel
I have a query about: how do I apply for hostel room allotment??,Hostel
When are the final semester exams scheduled to begin?,Exams
Could you please inform me does the campus have a gymnasium or indoor sports complex??,Other
Can anyone tell me is there a separate hostel building for freshers??,Hostel
Can anyone tell me where is the campus lost and found office located? for the upcoming batch?,Other
Quick question: what student clubs or extracurricular activities can I join??,Other
I have a query about: what is the process if I miss an exam due to a medical emergency? for the next semester?,Exams
Do you know do companies offer pre-placement offers (PPOs) during internships??,Placement
Quick question: are external practical exams held before or after theory exams??,Exams
How do I apply for hostel room allotment?,Hostel
What documents do I need to upload during the application process?,Admissions
I want to know how do I request a refund of my admission fees if I withdraw??,Fees
Can you tell me are students allowed to keep personal vehicles in the hostel? as soon as possible?,Hostel
Do you know whom should I contact to get updates from the placement coordinators? for the next semester?,Placement
I have a query about: is there a separate hostel building for freshers? for new admissions?,Hostel
Can you tell me how can I download my exam hall ticket or admit card??,Exams
I want to know what is the grading scale used for GPA calculation? for the next semester?,Exams
Can you tell me how do I book a slot for the document verification process? for the next semester?,Admissions
I have a query about: are exam fees included in the tuition fee or charged separately? for new admissions?,Fees
Which top companies visit the campus for MBA placements?,Placement
I have a query about: how much is the laboratory and library security deposit fee? for new admissions?,Fees
Quick question: what student clubs or extracurricular activities can I join? for this academic year?,Other
Can you tell me what are the operating hours of the central library? for the upcoming batch?,Other
Are exam fees included in the tuition fee or charged separately?,Fees
Can you tell me does the placement cell support entrepreneurship or startups??,Placement
Do you know what are the extra charges apart from tuition fees? as soon as possible?,Fees
What is the refund policy for hostel and mess deposits?,Hostel
Are there any merit-based scholarships available?,Fees
Can anyone tell me is the campus wheelchair accessible??,Other
Can anyone tell me what is the grading scale used for GPA calculation? for international students?,Exams
Do you know what is the address and location map of the campus? for international students?,Other
Can anyone tell me what are the eligibility criteria for participating in campus placements??,Placement
What is the admission eligibility criteria for MBA?,Admissions
Can anyone tell me how do I apply for an official transcript of my marksheet? for the next semester?,Exams
Can anyone tell me who manages the alumni association and how do I join??,Other
I want to know is there any financial aid or fee waiver for sports quota students? for this academic year?,Fees
I have a query about: what is the average and highest salary package offered in placements??,Placement
Can you tell me when are the final semester exams scheduled to begin??,Exams
Please let me know what are the hostel charges for a triple sharing? for the next semester?,Hostel
I want to know is there a penalty or late fee fine if I miss the deadline??,Fees
Could you please inform me how do I apply for an official transcript of my marksheet? for this academic year?,Exams
Can anyone tell me what documents do I need to upload during the application process??,Admissions
Can anyone tell me whom should I contact to get updates from the placement coordinators? for the next semester?,Placement
Can anyone tell me can I view my evaluated answer sheets??,Exams
I want to know can I change my branch or specialization after taking admission? for this academic year?,Admissions
I want to know what is the passing criteria for practical lab sessions? for this academic year?,Exams
Could you please inform me how can I apply for an duplicate student identity card??,Other
Do you know when will the first merit list for management be released? as soon as possible?,Admissions
Quick question: what is the grading scale used for GPA calculation? for the next semester?,Exams
Can anyone tell me does the college provide bus routes or transport facilities? for the upcoming batch?,Other
I have a query about: what is the fee for appearing in a supplementary exam??,Exams
Can you tell me is gym access included in the hostel fee? for the next semester?,Hostel
Does the college offer a discount on prepaying the annual fees?,Fees
What percentage of M.Tech students got placed last year?,Placement
Can anyone tell me does the college offer a discount on prepaying the annual fees??,Fees
How do I register my laptop for the campus Wi-Fi network?,Other
Can you tell me how is the quality of food in the hostel mess? for the next semester?,Hostel
Please let me know what are the operating hours of the central library??,Other
I want to know how is the quality of food in the hostel mess? for new admissions?,Hostel
Please let me know are there guest house facilities available for visiting parents? for this academic year?,Other
Can anyone tell me what student clubs or extracurricular activities can I join? for international students?,Other
Is hostel accommodation compulsory for all engineering students?,Hostel
Do you know what is the admission eligibility criteria for B.Sc? for the next semester?,Admissions
I have a query about: how much is the laboratory and library security deposit fee? for the next semester?,Fees
Could you please inform me what is the last date to submit the academic fees for M.Sc??,Fees
Quick question: how do I register with the university placement cell? for the upcoming batch?,Placement
I want to know is there a separate hostel building for freshers? as soon as possible?,Hostel
I want to know how is the quality of food in the hostel mess??,Hostel
Could you please inform me whom should I contact in the accounts department regarding fee discrepancies? for international students?,Fees
Quick question: is there a maximum number of backlogs allowed to move to the next year? for new admissions?,Exams
Quick question: does the college provide bus routes or transport facilities? for new admissions?,Other
Please let me know what is the admission eligibility criteria for M.Tech??,Admissions
Do you know how do I apply for an official transcript of my marksheet? for new admissions?,Exams
Do you know how do I book the seminar hall or auditorium for student events? for the next semester?,Other
Please let me know what are the rules and regulations regarding hostel safety? for international students?,Hostel
Can you tell me are there placements for postgraduate courses like management? for the next semester?,Placement
I have a query about: how can I download my exam hall ticket or admit card? for this academic year?,Exams
I want to know are international job opportunities offered during placements??,Placement
Are off-campus placement drives supported by the college?,Placement
Do you know where can I find the exam timetable and date sheet online? for this academic year?,Exams
Can you tell me what is the procedure to clear backlogs or reappear in a failed exam??,Exams
Do you know what is the intake capacity for the MBA course? for this academic year?,Admissions
I have a query about: which entrance exam score is required for engineering admissions? as soon as possible?,Admissions
Do you know what is the admission eligibility criteria for PhD? for new admissions?,Admissions
Can you tell me are off-campus placement drives supported by the college? for international students?,Placement
Quick question: what documents do I need to upload during the application process? for new admissions?,Admissions
Does the placement cell assist in securing internships?,Placement
Could you please inform me how can I check the status of my admission application??,Admissions
Do you know who is the main contact person for student grievances??,Other
Please let me know how much weightage do internal mid-term assessments carry??,Exams
What are the hostel charges for a single room?,Hostel
"Is there a cafeteria or food court on campus, and what are its timings?",Other
Can you tell me which entrance exam score is required for engineering admissions? for the next semester?,Admissions
Could you please inform me how do I register my laptop for the campus Wi-Fi network? for the next semester?,Other
Please let me know how can I download the fee receipt for my payment? as soon as possible?,Fees
Please let me know is there a separate hostel building for freshers? for new admissions?,Hostel
Can anyone tell me does the college offer a discount on prepaying the annual fees? for international students?,Fees
I have a query about: when is the application deadline for the upcoming academic year??,Admissions
Can anyone tell me is there a maximum number of backlogs allowed to move to the next year? for the upcoming batch?,Exams
I have a query about: is there a placement policy regarding accepting multiple offers? for the upcoming batch?,Placement
Do you know where is the campus lost and found office located? for the next semester?,Other
Quick question: when will the first merit list for M.Sc be released??,Admissions
